group,readability,stress,understanding,memorability,time
A,19,46,38,53,106.849
A,24,56,50,68,75.3085
A,77,22,55,20,77.16992
A,29,48,45,20,78.85937
A,72,82,59,39,76.40662
A,16,91,36,9,76.52671
A,36,65,35,34,75.40749
A,64,65,72,80,96.43768
A,27,78,45,30,75.296991
A,18,66,0,19,79.46642
A,30,74,26,25,76.2334
A,13,90,22,19,76.52383
B,28,56,28,12,46.33347
B,33,42,27,23,109.12331
B,36,41,39,33,51.25071
B,31,66,12,42,48.12535
B,79,17,11,60,50.5961
B,50,0,25,50,24.97643
B,51,38,23,44,65.48294
B,36,29,31,31,52.66153
B,26,46,16,61,49.2248
B,67,55,59,28,69.11924
B,44,27,24,21,77.58927
B,37,88,18,42,53.98581